lat,lng,country
44.8942,8.8656,Italy
37.5667,14.2667,Italy
41.0667,16.9167,Italy
41.7,15.7333,Italy
45.5,12.1,Italy
45.5771,9.0814,Italy
41.1333,16.55,Italy
36.7914,14.7025,Italy
37.15,14.3833,Italy
39.2897,9.0048,Italy
44.8667,10.0667,Italy
40.1667,18.1667,Italy
40.5667,17.8,Italy
39.3103,8.5372,Italy
45.1833,7.8833,Italy
40.8492,17.1225,Italy
40.8,16.7667,Italy
43.8475,10.9833,Italy
40.8,14.0833,Italy
43.2586,13.7585,Italy
41.0333,16.9833,Italy
45.5333,9.1833,Italy
40.65,14.8833,Italy
45.5331,12.6448,Italy
40.9667,17.1167,Italy
45.6167,9.3667,Italy
45.35,11.8667,Italy
43.6296,13.3968,Italy
37.9833,13.7,Italy
45.65,11.3,Italy
41.7167,13.6167,Italy
44.2012,12.4007,Italy
45.7,9.2167,Italy
41.05,13.9167,Italy
45.5667,9.0333,Italy
44.5925,10.6878,Italy
40.9167,14.15,Italy
45.4161,10.3917,Italy
44.7717,10.7806,Italy
42.4181,14.2919,Italy
45.5203,11.3397,Italy
42.6833,14.0167,Italy
43.75,11.3167,Italy
41.0667,17.0833,Italy
45.6847,9.7178,Italy
45.3833,11.0333,Italy
41.1173,16.4837,Italy
44.4808,11.0022,Italy
45.1929,11.3115,Italy
40.75,14.5,Italy
45.7833,12.8333,Italy
45.7,9.1833,Italy
41.5,13.0667,Italy
43.5234,11.5679,Italy
44.55,7.7333,Italy
40.7417,14.6722,Italy
45.7072,11.4786,Italy
42.048,13.9262,Italy
40.2667,18.05,Italy
43.7903,7.6083,Italy
44.0491,8.213,Italy
36.8833,15.0833,Italy
37.6453,14.8636,Italy
45.4603,8.8766,Italy
41.7022,12.6925,Italy
42.7525,13.9567,Italy
40.85,14.4775,Italy
43.9452,10.2183,Italy
44.8873,11.066,Italy
39.1752,8.9709,Italy
45.6,9.2333,Italy
45.4,10.5,Italy
37.2833,15,Italy
45.65,9.6,Italy
45.6667,9.1667,Italy
45.6474,9.1387,Italy
45.4622,7.8747,Italy
37.5833,15.1,Italy
41.5667,13.3333,Italy
45,7.5333,Italy
45.5833,9.2,Italy
45.5037,11.412,Italy
43.7333,10.8,Italy
42.0337,12.6444,Italy
42.3557,14.4036,Italy
45.45,11.9833,Italy
45.3833,11.7833,Italy
37.0833,15.15,Italy
37.1936,13.7658,Italy
40.9362,14.2993,Italy
37.4833,13.9833,Italy
41.8167,12.6833,Italy
41.1528,15.0889,Italy
44.3833,7.8167,Italy
43.8667,10.3333,Italy
40.5,16.75,Italy
40.8369,8.4014,Italy
40.7833,14.7667,Italy
36.7167,15.1,Italy
44.7,12.1833,Italy
44.0633,12.4466,Italy
44.1136,9.96,Italy
43.2756,11.9881,Italy
